nome,alter_ego,universo,poder_principal,forca,inteligencia,velocidade,equipe,ativo
Homem de Ferro,Tony Stark,Marvel,Armadura tecnológica,85,98,70,Vingadores,True
Capitão América,Steve Rogers,Marvel,Super soldado,95,75,65,Vingadores,True
Thor,Thor Odinson,Marvel,Controle do trovão,100,80,90,Vingadores,True
Hulk,Bruce Banner,Marvel,Força bruta,150,90,60,Vingadores,True
Homem-Aranha,Peter Parker,Marvel,Agilidade e teia,70,85,80,Vingadores,True
Viúva Negra,Natasha Romanoff,Marvel,Combate e espionagem,60,88,75,Vingadores,True
Pantera Negra,T'Challa,Marvel,Vibranium,80,85,78,Vingadores,True
Doutor Estranho,Stephen Strange,Marvel,Magia e feitiçaria,65,99,50,Vingadores,True
Star-Lord,Peter Quill,Marvel,Combate espacial,68,70,72,Guardiões,True
Wolverine,James Howlett,Marvel,Regeneração e garras,88,70,65,X-Men,True
Ciclope,Scott Summers,Marvel,Raios ópticos,72,80,68,X-Men,True
Tempestade,Ororo Munroe,Marvel,Controle do clima,70,78,85,X-Men,True
Jean Grey,Jean Grey,Marvel,Telepatia e telecinese,68,92,70,X-Men,True
Demolidor,Matt Murdock,Marvel,Sentidos apurados,72,80,80,Solo,True
Luke Cage,Carl Lucas,Marvel,Pele de aço,90,65,55,Defensores,True
